ID,CASE_NUMBER,BLOCK,IUCR,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT,WARD,COMMUNITY_AREA_NUMBER,FBICODE,YEAR,LONGITUDE,LATITUDE
3512276,HK587712,047XX S KEDZIE AVE,890,THEFT,FROM BUILDING,SMALL RETAIL STORE,FALSE,FALSE,911,9,14,58,6,2004,-87.70395585,41.8074405
3406613,HK456306,009XX N CENTRAL PARK AVE,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,1112,11,27,23,6,2004,-87.71640551,41.89827996
8002131,HT233595,043XX S WABASH AVE,820,THEFT,$500 AND UNDER,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,221,2,3,38,6,2011,-87.62464213,41.81593313
7903289,HT133522,083XX S KINGSTON AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,423,4,7,46,6,2010,-87.56246276,41.74366532
10402076,HZ138551,033XX W 66TH ST,820,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,831,8,15,66,6,2016,-87.70648047,41.7734553
7732712,HS540106,006XX W CHICAGO AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1323,12,27,24,6,2010,-87.64493868,41.89644677
10769475,HZ534771,050XX N KEDZIE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1713,17,33,14,6,2016,-87.70860008,41.97284491
4494340,HL793243,005XX E PERSHING RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,213,2,3,38,6,2005,-87.61350386,41.82387989
3778925,HL149610,100XX S WASHTENAW AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2211,22,19,72,6,2005,-87.6891791,41.71128051
3324217,HK361551,033XX W BELMONT AVE,820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,FALSE,FALSE,1733,17,35,21,6,2004,-87.71092344,41.93929582
9902691,HX552797,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,833,8,13,65,6,2014,-87.74152854,41.75459296
7947964,HT180228,012XX S HALSTED ST,820,THEFT,$500 AND UNDER,BAR OR TAVERN,FALSE,FALSE,1232,12,25,28,6,2011,-87.64687598,41.86576126
8568365,HV243612,108XX S EMERALD AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2233,22,34,49,6,2012,-87.64131567,41.69715437
5343947,HN200365,011XX S CANAL ST,842,THEFT,AGG: FINANCIAL ID THEFT,OTHER,FALSE,FALSE,131,1,2,28,6,2007,-87.63922391,41.86824272
3121541,HK108680,038XX W FLOURNOY ST,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1133,11,24,26,6,2003,-87.72178565,41.87258418
10209850,HY396729,026XX N ELSTON AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1432,14,1,22,6,2015,-87.68427378,41.92974382
6866556,HR271603,089XX S STONY ISLAND AVE,860,THEFT,RETAIL THEFT,OTHER,TRUE,FALSE,413,4,8,48,6,2009,-87.58511413,41.73273081
9681782,HX332132,079XX S STATE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,623,6,6,44,6,2014,-87.62453842,41.75077211
9166453,HW303994,055XX W GLADYS AVE,810,THEFT,OVER $500,VACANT LOT/LAND,FALSE,FALSE,1522,15,29,25,6,2013,-87.76256886,41.87565911
7762423,HS569246,058XX W ARTHINGTON ST,880,THEFT,PURSE-SNATCHING,SIDEWALK,FALSE,FALSE,1513,15,29,25,6,2010,-87.77018245,41.8691736
10046030,HY234744,008XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1833,18,42,8,6,2015,-87.62409563,41.89798294
6233210,HP320451,0000X S STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,123,1,42,32,6,2008,-87.62775808,41.8815977
5677874,HN484464,0000X E 69TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,322,3,20,69,6,2007,-87.62244037,41.76920358
11230490,JB151690,036XX S ARCHER AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,912,9,11,59,6,2018,-87.68256806,41.82737375
7172285,HR582990,060XX S HALSTED ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,712,7,16,68,6,2009,-87.64491718,41.78512289
7125811,HR535632,044XX N ELSTON AVE,820,THEFT,$500 AND UNDER,ATHLETIC CLUB,FALSE,FALSE,1722,17,39,14,6,2009,-87.7310293,41.96184525
