School_ID,NAME_OF_SCHOOL,Street_Address,City,ZIP_Code,Network_Manager,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,HEALTHY_SCHOOL_CERTIFIED,Safety_Icon ,SAFETY_SCORE,Longitude,Latitude,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,Ward,Police_District
610038,Abraham Lincoln Elementary School,615 W Kemper Pl ,Chicago,60614,Fullerton Elementary Network,Not on Probation,Level 1,Yes,Very Strong,99,-87.64452163,41.92449696,7,LINCOLN PARK,43,18
610281,Adam Clayton Powell Paideia Community Academy Elementary School,7511 S South Shore Dr ,Chicago,60649,Skyway Elementary Network,Not on Probation,Level 1,No,Average,54,-87.55673627,41.76032435,43,SOUTH SHORE,7,4
610185,Adlai E Stevenson Elementary School,8010 S Kostner Ave ,Chicago,60652,Midway Elementary Network,Not on Probation,Level 2,No,Strong,61,-87.73170248,41.74711093,70,ASHBURN,13,8
609993,Agustin Lara Elementary Academy,4619 S Wolcott Ave ,Chicago,60609,Pershing Elementary Network,Not on Probation,Level 1,No,Average,56,-87.6721446,41.8097569,61,NEW CITY,20,9
610513,Air Force Academy High School,3630 S Wells St ,Chicago,60609,Southwest Side High School Network,Not on Probation,Not Enough Data,Yes,Average,49,-87.63279369,41.82814609,34,ARMOUR SQUARE,11,9
610212,Albany Park Multicultural Academy,4929 N Sawyer Ave ,Chicago,60625,O'Hare Elementary Network,Not on Probation,Level 1,No,Strong,66,-87.70962725,41.9711433,14,ALBANY PARK,39,17
609720,Albert G Lane Technical High School,2501 W Addison St ,Chicago,60618,North-Northwest Side High School Network,Not on Probation,Level 1,No,Very Strong,88,-87.69105603,41.94661693,5,NORTH CENTER,47,19
610342,Albert R Sabin Elementary Magnet School,2216 W Hirsch St ,Chicago,60622,Fulton Elementary Network,Probation,Level 3,No,Strong,67,-87.68304259,41.90684338,24,WEST TOWN,1,14
610524,Alcott High School for the Humanities,2957 N Hoyne Ave ,Chicago,60618,North-Northwest Side High School Network,Not on Probation,Not Enough Data,No,Strong,70,-87.68052441,41.93576106,5,NORTH CENTER,1,19
610209,Alessandro Volta Elementary School,4950 N Avers Ave ,Chicago,60625,O'Hare Elementary Network,Not on Probation,Level 2,No,Average,43,-87.72464139,41.97160605,14,ALBANY PARK,39,17
609799,Alexander Graham Bell Elementary School,3730 N Oakley Ave ,Chicago,60618,Ravenswood-Ridge Elementary Network,Not on Probation,Level 1,No,Very Strong,99,-87.68605496,41.94952795,5,NORTH CENTER,47,19
609947,Alexander Graham Elementary School,4436 S Union Ave ,Chicago,60609,Pershing Elementary Network,Not on Probation,Level 2,No,Average,49,-87.64338051,41.81329195,61,NEW CITY,11,9
